,num_confessed_assignments,predict_confess
shelley_wells,0,0
jason_ochoa,0,0
rachel_robertson,0,0
shane_hodges,0,0
theresa_white,0,0
henry_poole,0,0
patrick_kirby,0,0
micheal_sims,0,0
colleen_davis,0,0
allison_cummings,0,0
edwin_mack,0,0
rachel_boone,0,0
matthew_lang,0,0
mrs._amy_white_phd,0,0
jennifer_marshall,0,0
jessica_coleman,0,0
jessica_bryant,0,0
gina_roberts,0,0
mrs._mary_hammond,0,0
nancy_sanchez,0,0
justin_burton,0,0
jon_taylor,0,0
gregory_foster,0,0
samuel_cooley,0,0
laura_waller,0,0
daisy_mcfarland,0,0
janet_aguirre,0,0
andrew_sanders,0,0
vincent_adams,0,0
patrick_saunders,0,0
jerry_garcia,0,0
megan_rodriguez_dds,0,0
gwendolyn_english,0,0
dustin_joseph,0,0
mary_clark_dds,0,0
crystal_smith,0,0
wesley_spencer,0,0
david_chavez,0,1
kimberly_lam,0,0
chelsea_jimenez,0,0
jerry_bradley_md,0,0
edward_gonzales,0,0
jerry_martinez_md,0,0
matthew_aguirre,0,0
patrick_morris,0,0
mark_christian,0,0
cynthia_smith,0,0
meredith_rios,0,0
sherry_cardenas,0,0
jacob_jones,0,0
brittany_phillips,0,0
robert_myers,0,0
ross_donovan,0,0
kimberly_maynard,0,0
james_martin,0,0
jamie_riley,0,0
christopher_powell,0,0
michelle_moore,0,0
charles_valencia,0,0
cody_torres,0,0
sierra_montoya,0,0
amber_wright,0,0
rebecca_wilson,0,0
joshua_houston,0,0
cynthia_pena,0,0
nicole_mays,0,0
stephanie_ewing,0,0
jill_sharp,0,0
ian_garcia,0,0
margaret_santiago,0,0
andrew_alexander,0,0
jonathan_snyder,0,0
kim_jones,0,0
jill_ferguson,0,0
bryan_moore,0,0
mitchell_bennett,0,0
michelle_stephens,0,0
gregory_meza,0,0
brian_lopez,0,0
megan_parsons,0,0
alexandra_chavez,0,0
kimberly_padilla,0,0
peter_callahan,0,0
kelly_rocha,0,0
frank_martin,0,0
ashley_johnson,0,0
amy_fletcher,0,0
russell_ware,0,0
stacy_brown,0,0
margaret_bailey,0,0
thomas_harris,0,0
connie_fisher,0,0
christopher_marquez,0,0
benjamin_jones,0,0
karen_mcdaniel,0,0
vincent_clark,0,0
sherri_hart,0,0
ryan_solomon,0,0
alexa_ewing,0,0
lisa_reese,0,0
garrett_frank,0,0
kimberly_thomas,0,0
lee_bass,0,0
tony_cook,0,0
miguel_reynolds,0,0
norman_gonzalez,0,0
edwin_williams,0,0
alexis_phillips,0,0
michael_alexander,0,0
angela_marshall,0,0
diana_alexander,0,0
sarah_stewart,0,0
walter_johnson,0,0
april_turner,0,0
gary_evans,0,0
james_romero,0,0
karen_walker,0,0
michael_camacho,0,0
barbara_sullivan,0,0
melissa_graham,0,0
casey_phillips,0,0
tony_johnson,0,0
raymond_allen,0,0
lisa_hays,0,0
joshua_smith,0,0
emily_jones,0,0
susan_hogan,0,0
eugene_nelson,0,0
devin_mccarty,0,0
misty_sanchez_md,0,0
melinda_waller,0,0
jon_underwood,0,0
roy_morgan,0,0
tyrone_mckee,0,0
jennifer_washington,0,0
jeremiah_castro,0,0
russell_sutton,0,0
christian_jackson,0,0
terry_wells,0,0
jeff_hines,0,0
kelsey_ramirez,0,0
joseph_snyder,0,0
rhonda_randall,0,0
brandy_sims,0,0
carmen_lopez,0,0
julie_gibson,0,0
christopher_wiley,0,0
jeffery_tran,0,0
amy_miller,0,0
alexandria_jones,0,0
danielle_lynch,0,0
patricia_foster,0,0
jennifer_harrell,0,0
matthew_barnes,0,0
eric_stone,0,0
tammy_lopez,0,0
elizabeth_leon,0,0
richard_morales,0,0
david_pitts,0,0
gregory_krause,0,0
veronica_gibson,0,0
brandon_meyer,0,0
peter_johnston,0,0
richard_campbell,0,0
lisa_hoffman,0,0
heather_bird,0,0
dana_gordon,0,0
lisa_garcia,0,0
shelly_craig,0,0
brian_elliott,0,0
carolyn_barnes,0,0
joseph_tapia,0,0
denise_burnett,0,0
sabrina_clark,0,0
bryan_todd,0,0
andrew_lewis,0,0
rachel_hinton,0,0
bryan_carpenter,0,0
felicia_davidson,0,0
elizabeth_perry,0,0
michael_dickerson,0,0
jared_johnson,0,0
michael_adams,0,0
chad_foster,0,0
leah_pena,0,0
carly_sullivan,0,0
george_allen,0,0
tara_bonilla,0,0
michael_walker,0,0
elizabeth_ramirez,0,0
tammy_brown_md,0,0
carol_harris,0,0
kaitlin_gregory,0,0
anne_thompson,0,0
mr._ryan_sanchez,0,0
heather_english,0,0
ricky_torres,0,0
robert_snyder,0,0
michael_joseph,0,0
jeff_ferguson,0,0
steven_harris,0,0
brian_hamilton,0,0
kenneth_gross,0,0
patrick_ramsey,0,0
veronica_collier,0,0
stephanie_park,0,0
daniel_morris,0,0
sherry_everett,0,0
stacy_dixon,0,0
scott_sanders,0,0
randy_yates,0,0
scott_hurst,0,0
raymond_guerra,0,0
dr._michael_garza_jr.,0,0
kevin_harper,0,0
lauren_ramirez,0,0
jeffery_clark,0,0
anthony_crane,0,0
richard_hubbard,0,0
james_smith,0,0
